商品,订单号,订单状态,商品总价(元),邮费(元),店铺优惠折扣(元),平台优惠折扣(元),多多支付立减金额(元),用户实付金额(元),商家实收金额(元),商品数量(件),发货时间,确认收货时间,商品id,商品规格,样式ID,商家编码-规格维度,商家编码-商品维度,商家备注,售后状态,快递单号,快递公司,订单成交时间,是否分期,分期期数,手续费承担方,分期方式
Adidas阿迪达斯 三叶草时尚厚底耐磨凉鞋 IE5651,260205-221821038111033,已收货,159.0	,0.0	,5.0	,0.0	,0.0	,154.0	,154.0	,1	,2026-02-06 11:56:39,2026-02-16 11:56:39,792058673878	,"IE5651,43",1769504186130	,	,	,	,无售后或售后取消,78577239213291	,中通快递,2026-02-05 17:21:37,否,,	,
Nike耐克黑白板鞋CourtVision1低帮可回收材料经典耐磨DH2987-001,260205-670045356350431,未发货，退款成功,309.0	,0.0	,5.0	,15.0	,0.0	,289.0	,304.0	,1	,	,	,896110633104	,"DH2987-001【收藏关注优先发货】,42【正品保障 支持鉴定】",1851257019294	,	,	,	,退款成功,	,	,2026-02-05 17:17:18,否,,	,
Nike耐克黑白板鞋CourtVision1低帮可回收材料经典耐磨DH2987-001,260205-070328072563783,已取消,311.0	,0.0	,5.0	,0.0	,0.0	,306.0	,306.0	,1	,	,	,896110633104	,"DH2987-001【收藏关注优先发货】,40【正品保障 支持鉴定】",1851257019292	,	,	,	,无售后或售后取消,	,	,	,	,,	,
Nike耐克黑白板鞋CourtVision1低帮可回收材料经典耐磨DH2987-001,260205-009568294531694,未发货，退款成功,309.0	,0.0	,5.0	,20.0	,0.0	,284.0	,304.0	,1	,	,	,896110633104	,"DH2987-001【收藏关注优先发货】,42【正品保障 支持鉴定】",1851257019294	,	,	,	,退款成功,	,	,2026-02-05 11:57:48,否,,	,
Adidas阿迪达斯 Neo Entrap合成革 简约低帮板鞋FZ1119/JQ5047,260205-228589596183947,已收货,288.0	,0.0	,5.0	,20.0	,0.0	,263.0	,283.0	,1	,2026-02-05 11:11:42,2026-02-15 11:11:42,853847918867	,"FZ1119【收藏关注优先发货】,42.5【正品保障 支持鉴定】",1813726498674	,	,	,	,无售后或售后取消,78576838813122	,中通快递,2026-02-05 11:06:12,否,,	,
Adidas阿迪达斯 三叶草时尚厚底耐磨凉鞋 IE5651,260205-142742668903501,已发货，退款成功,159.0	,0.0	,5.0	,0.0	,0.0	,154.0	,154.0	,1	,2026-02-05 11:11:42,	,792058673878	,"IE5651,42",1769504186128	,	,	,	,退款成功,78576838794558	,中通快递,2026-02-05 10:00:17,否,,	,
Adidas阿迪达斯 D-PAD Classic时尚舒适小锯齿黑棕防滑耐磨KK1415,260205-176475390291106,已收货,302.0	,0.0	,5.0	,14.85	,0.0	,282.15	,297.0	,1	,2026-02-05 11:11:42,2026-02-15 11:11:42,896121634146	,"KK1415【收藏关注优先发货】,42.5【正品保障 支持鉴定】",1851266987539	,	,	,	,无售后或售后取消,78576838812989	,中通快递,2026-02-05 08:08:38,否,,	,
Nike耐克黑白板鞋CourtVision1低帮可回收材料经典耐磨DH2987-001,260205-426906827103927,已取消,317.0	,0.0	,5.0	,0.0	,0.0	,312.0	,312.0	,1	,	,	,896110633104	,"DH2987-001【收藏关注优先发货】,40【正品保障 支持鉴定】",1851257019292	,	,	,	,无售后或售后取消,	,	,	,	,,	,
Adidas阿迪达斯 Neo Entrap合成革 简约低帮板鞋FZ1119/JQ5047,260205-616625641070054,已收货,288.0	,0.0	,5.0	,15.77	,0.0	,267.23	,283.0	,1	,2026-02-05 11:11:42,2026-02-15 11:11:42,853847918867	,"FZ1119【收藏关注优先发货】,41【正品保障 支持鉴定】",1813725446879	,	,	,	,无售后或售后取消,78576838794609	,中通快递,2026-02-05 04:46:20,否,,	,
Nike耐克 Zoom Rival S10短跑钉鞋训练舒适防滑耐磨DC8753-100,260204-052617613630302,已收货,307.0	,0.0	,5.0	,12.0	,0.0	,290.0	,302.0	,1	,2026-02-05 11:11:42,2026-02-15 11:11:42,822868315610	,"DC8753-100【收藏关注优先发货】,41【正品保障 支持鉴定】",1789416839727	,	,	,	,无售后或售后取消,78576838794545	,中通快递,2026-02-04 23:55:46,否,,	,
Nike耐克 Zoom Rival S10短跑钉鞋训练舒适防滑耐磨DC8753-100,260204-518520839833947,已收货,292.0	,0.0	,5.0	,14.35	,0.0	,272.65	,287.0	,1	,2026-02-05 11:11:42,2026-02-09 19:37:57,822868315610	,"DC8753-100【收藏关注优先发货】,42【正品保障 支持鉴定】",1789416839728	,	,	,	,无售后或售后取消,78576838794517	,中通快递,2026-02-04 17:29:45,否,,	,
Nike耐克 Zoom Rival S10短跑钉鞋训练舒适防滑耐磨DC8753-100,260204-480793085441916,未发货，退款成功,292.0	,0.0	,5.0	,0.0	,0.0	,287.0	,287.0	,1	,	,	,822868315610	,"DC8753-100【收藏关注优先发货】,43【正品保障 支持鉴定】",1789416839730	,	,	,	,退款成功,	,	,2026-02-04 17:26:58,否,,	,
Nike耐克 Zoom Rival S10短跑钉鞋训练舒适防滑耐磨DC8753-100,260204-521121308232257,未发货，退款成功,292.0	,0.0	,5.0	,9.0	,0.0	,278.0	,287.0	,1	,	,	,822868315610	,"DC8753-100【收藏关注优先发货】,42【正品保障 支持鉴定】",1789416839728	,	,	,	,退款成功,	,	,2026-02-04 15:39:11,否,,	,
Adidas阿迪达斯 三叶草时尚厚底耐磨凉鞋 IE5651,260204-532739602863301,已发货，退款成功,159.0	,0.0	,5.0	,7.7	,0.0	,146.3	,154.0	,1	,2026-02-04 11:45:46,	,792058673878	,"IE5651,42",1769504186128	,	,	,	,退款成功,78576485744814	,中通快递,2026-02-04 11:06:32,否,,	,
Nike耐克 Zoom Rival S10短跑钉鞋训练舒适防滑耐磨DC8753-100,260204-291514642051233,未发货，退款成功,292.0	,0.0	,5.0	,0.0	,0.0	,287.0	,287.0	,1	,	,	,822868315610	,"DC8753-100【收藏关注优先发货】,42【正品保障 支持鉴定】",1789416839728	,	,	,	,退款成功,	,	,2026-02-04 10:49:31,否,,	,
Nike耐克 Zoom Rival S10短跑钉鞋训练舒适防滑耐磨DC8753-100,260204-148499340931379,未发货，退款成功,292.0	,0.0	,5.0	,20.0	,0.0	,267.0	,287.0	,1	,	,	,822868315610	,"DC8753-100【收藏关注优先发货】,42【正品保障 支持鉴定】",1789416839728	,	,	,	,退款成功,	,	,2026-02-04 09:56:35,否,,	,
Nike耐克黑白板鞋CourtVision1低帮可回收材料经典耐磨DH2987-001,260204-169911314820485,已发货，退款成功,313.0	,0.0	,5.0	,20.0	,0.0	,288.0	,308.0	,1	,2026-02-04 11:45:46,	,896110633104	,"DH2987-001【收藏关注优先发货】,43【正品保障 支持鉴定】",1851257019295	,	,	,	,退款成功,78576485726656	,中通快递,2026-02-04 02:00:01,否,,	,
Adidas阿迪达斯 Neo Entrap合成革 简约低帮板鞋FZ1119/JQ5047,260204-526133501452776,已取消,288.0	,0.0	,5.0	,0.0	,0.0	,283.0	,283.0	,1	,	,	,853847918867	,"FZ1119【收藏关注优先发货】,41【正品保障 支持鉴定】",1813725446879	,	,	,	,无售后或售后取消,	,	,	,	,,	,
Adidas阿迪达斯 Neo Entrap合成革 简约低帮板鞋FZ1119/JQ5047,260204-327124272653188,已收货,288.0	,0.0	,5.0	,14.15	,0.0	,268.85	,283.0	,1	,2026-02-04 11:45:45,2026-02-14 11:45:45,853847918867	,"FZ1119【收藏关注优先发货】,41【正品保障 支持鉴定】",1813725446879	,	,	,	,无售后或售后取消,78576485726691	,中通快递,2026-02-04 00:53:51,否,,	,
Adidas阿迪达斯 Neo Entrap合成革 简约低帮板鞋FZ1119/JQ5047,260204-630739463823414,已收货,287.0	,0.0	,5.0	,21.0	,0.2	,261.0	,282.0	,1	,2026-02-04 11:45:46,2026-02-19 11:45:46,853847918867	,"FZ1119【收藏关注优先发货】,42【正品保障 支持鉴定】",1813725446880	,	,	,	,无售后或售后取消,78576485737756	,中通快递,2026-02-04 00:50:06,否,,	,
adidas阿迪达斯 neo Entrap舒适低帮板鞋粉色经典耐磨男女IE3904,260203-056119847322389,已收货,271.0	,0.0	,5.0	,24.0	,0.0	,242.0	,266.0	,1	,2026-02-04 11:45:46,2026-02-21 12:42:37,896115787886	,"IE3904【收藏关注优先发货】,36.5【正品保障 支持鉴定】",1851261433585	,	,	,	,无售后或售后取消,78576485744722	,中通快递,2026-02-03 22:58:21,否,,	,
Nike耐克 GAMMA FORCE黑色板鞋经典学生舒适耐磨低帮FQ6476-010,260203-130673559151090,已收货,411.0	,0.0	,5.0	,0.0	,0.0	,406.0	,406.0	,1	,2026-02-03 22:01:15,2026-02-18 22:01:15,894084484861	,"FQ6476-010【收藏关注优先发货】,40【正品保障 支持鉴定】",1849521683498	,	,	,	,无售后或售后取消,78576300626808	,中通快递,2026-02-03 20:40:36,否,,	,
Nike耐克 Zoom Rival S10短跑钉鞋训练舒适防滑耐磨DC8753-100,260203-251626800700599,已收货，退款成功,292.0	,0.0	,5.0	,0.0	,0.0	,287.0	,287.0	,1	,2026-02-03 22:01:15,2026-02-06 20:30:30,822868315610	,"DC8753-100【收藏关注优先发货】,43【正品保障 支持鉴定】",1789416839730	,	,	,	,退款成功,78576300626864	,中通快递,2026-02-03 18:26:27,否,,	,
Adidas阿迪达斯 三叶草时尚厚底耐磨凉鞋 IE5651,260203-378168994170458,已取消,159.0	,0.0	,5.0	,0.0	,0.0	,154.0	,154.0	,1	,	,	,792058673878	,"IE5651,40.5",1769504186127	,	,	,	,无售后或售后取消,	,	,	,	,,	,
Nike耐克 板鞋蓝白SB FROCE 58街头滑板复古低帮北卡蓝HJ3489-141,260203-365512629862060,已收货，退款成功,514.0	,0.0	,5.0	,0.0	,0.0	,509.0	,509.0	,1	,2026-02-03 22:01:15,2026-02-06 17:38:48,896112938333	,"HJ3489-141【收藏关注优先发货】,43【正品保障 支持鉴定】",1851259580669	,	,	,	,退款成功,78576300626798	,中通快递,2026-02-03 16:37:37,否,,	,
Nike耐克 板鞋蓝白SB FROCE 58街头滑板复古低帮北卡蓝HJ3489-141,260203-105927185983851,已收货,514.0	,0.0	,5.0	,30.54	,0.0	,478.46	,509.0	,1	,2026-02-03 22:01:15,2026-02-13 22:01:15,896112938333	,"HJ3489-141【收藏关注优先发货】,42【正品保障 支持鉴定】",1851259580667	,	,	,	,无售后或售后取消,78576300626703	,中通快递,2026-02-03 14:11:11,否,,	,
Nike耐克 板鞋蓝白SB FROCE 58街头滑板复古低帮北卡蓝HJ3489-141,260203-543718162873053,已收货,518.0	,0.0	,5.0	,20.0	,0.0	,493.0	,513.0	,1	,2026-02-03 22:01:15,2026-02-13 22:01:15,896112938333	,"HJ3489-141【收藏关注优先发货】,42.5【正品保障 支持鉴定】",1851259580668	,	,	,	,无售后或售后取消,78576300647777	,中通快递,2026-02-03 13:24:53,否,,	,
Nike耐克 板鞋蓝白SB FROCE 58街头滑板复古低帮北卡蓝HJ3489-141,260203-062809782713053,未发货，退款成功,518.0	,0.0	,5.0	,20.0	,0.0	,493.0	,513.0	,1	,	,	,896112938333	,"HJ3489-141【收藏关注优先发货】,42.5【正品保障 支持鉴定】",1851259580668	,	,	,	,退款成功,	,	,2026-02-03 13:21:51,否,,	,
Nike耐克 板鞋蓝白SB FROCE 58街头滑板复古低帮北卡蓝HJ3489-141,260203-528754993593053,已取消,514.0	,0.0	,5.0	,20.0	,0.0	,489.0	,509.0	,1	,	,	,896112938333	,"HJ3489-141【收藏关注优先发货】,42【正品保障 支持鉴定】",1851259580667	,	,	,	,无售后或售后取消,	,	,	,	,,	,
Adidas阿迪达斯 Neo Entrap合成革 简约低帮板鞋FZ1119/JQ5047,260203-101963558431344,已收货,288.0	,0.0	,5.0	,0.0	,0.0	,283.0	,283.0	,1	,2026-02-03 22:01:15,2026-02-08 11:29:45,853847918867	,"FZ1119【收藏关注优先发货】,42.5【正品保障 支持鉴定】",1813726498674	,	,	,	,无售后或售后取消,78576300626772	,中通快递,2026-02-03 11:58:30,否,,	,
Adidas阿迪达斯Originals Superstar 2柔软舒适百搭板鞋KK4473,260203-627446956440791,已取消,593.0	,0.0	,5.0	,0.0	,0.0	,588.0	,588.0	,1	,	,	,896125059373	,"KK4473【收藏关注优先发货】,44【正品保障 支持鉴定】",1851268806477	,	,	,	,无售后或售后取消,	,	,	,	,,	,
Adidas阿迪达斯 Neo Entrap合成革 简约低帮板鞋FZ1119/JQ5047,260203-549747474813166,已收货,288.0	,0.0	,5.0	,20.0	,0.0	,263.0	,283.0	,1	,2026-02-03 22:01:15,2026-02-07 16:08:47,853847918867	,"FZ1119【收藏关注优先发货】,41【正品保障 支持鉴定】",1813725446879	,	,	,	,无售后或售后取消,78576300647802	,中通快递,2026-02-03 07:04:11,否,,	,
Adidas阿迪达斯Originals Superstar 2柔软舒适百搭板鞋KK4473,260202-013390323340861,已收货,548.0	,0.0	,5.0	,0.0	,0.0	,543.0	,543.0	,1	,2026-02-03 22:01:15,2026-02-13 22:01:15,896125059373	,"KK4473【收藏关注优先发货】,42【正品保障 支持鉴定】",1851268806475	,	,	,	,无售后或售后取消,78576300626757	,中通快递,2026-02-02 23:37:23,否,,	,
Adidas阿迪达斯 Neo Entrap合成革 简约低帮板鞋FZ1119/JQ5047,260202-498786659903095,未发货，退款成功,288.0	,0.0	,5.0	,22.0	,0.0	,261.0	,283.0	,1	,	,	,853847918867	,"FZ1119【收藏关注优先发货】,41【正品保障 支持鉴定】",1813725446879	,	,	,	,退款成功,	,	,2026-02-02 23:22:40,否,,	,
Nike耐克黑白板鞋CourtVision1低帮可回收材料经典耐磨DH2987-001,260202-485092267653145,已取消,313.0	,0.0	,5.0	,0.0	,0.0	,308.0	,308.0	,1	,	,	,896110633104	,"DH2987-001【收藏关注优先发货】,43【正品保障 支持鉴定】",1851257019295	,	,	,	,无售后或售后取消,	,	,	,	,,	,
Nike耐克 板鞋蓝白SB FROCE 58街头滑板复古低帮北卡蓝HJ3489-141,260202-510205662800606,已收货,518.0	,0.0	,5.0	,45.0	,0.0	,468.0	,513.0	,1	,2026-02-03 22:01:15,2026-02-08 13:20:28,896112938333	,"HJ3489-141【收藏关注优先发货】,42.5【正品保障 支持鉴定】",1851259580668	,	,	,	,无售后或售后取消,78576300626785	,中通快递,2026-02-02 22:41:13,否,,	,
Nike耐克黑白板鞋CourtVision1低帮可回收材料经典耐磨DH2987-001,260202-590107143811524,已收货,313.0	,0.0	,5.0	,0.0	,0.0	,308.0	,308.0	,1	,2026-02-02 22:32:37,2026-02-08 17:11:06,896110633104	,"DH2987-001【收藏关注优先发货】,41【正品保障 支持鉴定】",1851257019293	,	,	,	,无售后或售后取消,78575903770094	,中通快递,2026-02-02 22:01:12,否,,	,
Nike耐克 Zoom Rival S10短跑钉鞋训练舒适防滑耐磨DC8753-100,260202-434288802201595,已收货,292.0	,0.0	,5.0	,0.0	,0.0	,287.0	,287.0	,1	,2026-02-02 22:32:37,2026-02-12 22:32:37,822868315610	,"DC8753-100【收藏关注优先发货】,42【正品保障 支持鉴定】",1789416839728	,	,	,	,无售后或售后取消,78575903762626	,中通快递,2026-02-02 20:39:20,否,,	,
Nike耐克黑白板鞋CourtVision1低帮可回收材料经典耐磨DH2987-001,260202-163462572432944,未发货，退款成功,313.0	,0.0	,5.0	,0.0	,0.2	,308.0	,308.0	,1	,	,	,896110633104	,"DH2987-001【收藏关注优先发货】,41【正品保障 支持鉴定】",1851257019293	,	,	,	,退款成功,	,	,2026-02-02 20:18:17,否,,	,
Adidas阿迪达斯 D-PAD Classic时尚舒适小锯齿黑棕防滑耐磨KK1415,260202-135601856020435,未发货，退款成功,303.0	,0.0	,5.0	,0.0	,0.0	,298.0	,298.0	,1	,	,	,896121634146	,"KK1415【收藏关注优先发货】,42【正品保障 支持鉴定】",1851266987538	,	,	,	,退款成功,	,	,2026-02-02 15:54:26,否,,	,
Nike耐克黑白板鞋CourtVision1低帮可回收材料经典耐磨DH2987-001,260202-098618580561739,已发货，退款成功,309.0	,0.0	,5.0	,13.0	,2.91	,291.0	,304.0	,1	,2026-02-02 22:32:37,	,896110633104	,"DH2987-001【收藏关注优先发货】,42【正品保障 支持鉴定】",1851257019294	,	,	,	,退款成功,78575903770104	,中通快递,2026-02-02 14:11:36,否,,	,
adidas阿迪达斯 neo Entrap舒适低帮板鞋粉色经典耐磨男女IE3904,260202-364159997511340,已收货,274.0	,0.0	,5.0	,0.0	,0.0	,269.0	,269.0	,1	,2026-02-02 14:03:14,2026-02-12 14:03:14,896115787886	,"IE3904【收藏关注优先发货】,36.5【正品保障 支持鉴定】",1851261433585	,	,	,	,无售后或售后取消,78575817369368	,中通快递,2026-02-02 13:01:32,否,,	,
Nike耐克 Zoom Rival S10短跑钉鞋训练舒适防滑耐磨DC8753-100,260202-480583360131379,已取消,292.0	,0.0	,5.0	,0.0	,0.0	,287.0	,287.0	,1	,	,	,822868315610	,"DC8753-100【收藏关注优先发货】,42【正品保障 支持鉴定】",1789416839728	,	,	,	,无售后或售后取消,	,	,	,	,,	,
adidas阿迪达斯 neo Entrap舒适低帮板鞋粉色经典耐磨男女IE3904,260201-581697585540283,已收货,294.0	,0.0	,5.0	,20.0	,0.0	,269.0	,289.0	,1	,2026-02-02 12:20:16,2026-02-12 12:20:16,896115787886	,"IE3904【收藏关注优先发货】,38【正品保障 支持鉴定】",1851261433587	,	,	,	,无售后或售后取消,78575747712776	,中通快递,2026-02-01 23:19:04,否,,	,
Adidas阿迪达斯 Neo Entrap合成革 简约低帮板鞋FZ1119/JQ5047,260201-667360960032326,已收货,294.0	,0.0	,5.0	,20.0	,0.0	,269.0	,289.0	,1	,2026-02-02 12:20:16,2026-02-12 12:20:16,853847918867	,"FZ1119【收藏关注优先发货】,43【正品保障 支持鉴定】",1813725446881	,	,	,	,无售后或售后取消,78575747729514	,中通快递,2026-02-01 22:36:51,否,,	,
adidas阿迪达斯 neo Entrap舒适低帮板鞋粉色经典耐磨男女IE3904,260201-329383995830811,已收货,280.0	,0.0	,5.0	,20.0	,0.0	,255.0	,275.0	,1	,2026-02-02 12:20:16,2026-02-12 12:20:16,896115787886	,"IE3904【收藏关注优先发货】,38.5【正品保障 支持鉴定】",1851261433588	,	,	,尽量包好，客人希望盒子不要有损坏,无售后或售后取消,78575747712830	,中通快递,2026-02-01 22:27:47,否,,	,
Nike耐克 Zoom Rival S10短跑钉鞋训练舒适防滑耐磨DC8753-100,260201-609982943610925,已收货,313.0	,0.0	,5.0	,0.0	,0.0	,308.0	,308.0	,1	,2026-02-02 12:20:16,2026-02-23 12:20:16,822868315610	,"DC8753-100【收藏关注优先发货】,41【正品保障 支持鉴定】",1789416839727	,	,	,	,无售后或售后取消,78575747712906	,中通快递,2026-02-01 21:46:36,否,,	,
Nike耐克 Zoom Rival S10短跑钉鞋训练舒适防滑耐磨DC8753-100,260201-576811221283771,已取消,292.0	,0.0	,5.0	,0.0	,0.0	,287.0	,287.0	,1	,	,	,822868315610	,"DC8753-100【收藏关注优先发货】,44【正品保障 支持鉴定】",1789416839731	,	,	,	,无售后或售后取消,	,	,	,	,,	,
Adidas阿迪达斯 三叶草时尚厚底耐磨凉鞋 IE5651,260201-077028462970458,已取消,159.0	,0.0	,5.0	,0.0	,0.0	,154.0	,154.0	,1	,	,	,792058673878	,"IE5651,40.5",1769504186127	,	,	,	,无售后或售后取消,	,	,	,	,,	,
Nike耐克 Zoom Rival S10短跑钉鞋训练舒适防滑耐磨DC8753-100,260201-199701359012159,未发货，退款成功,313.0	,0.0	,5.0	,0.0	,0.0	,308.0	,308.0	,1	,	,	,822868315610	,"DC8753-100【收藏关注优先发货】,41【正品保障 支持鉴定】",1789416839727	,	,	,	,退款成功,	,	,2026-02-01 17:11:44,否,,	,
adidas阿迪达斯 neo Entrap舒适低帮板鞋粉色经典耐磨男女IE3904,260201-672462313052980,已收货,274.0	,0.0	,5.0	,20.0	,0.0	,249.0	,269.0	,1	,2026-02-02 12:20:16,2026-02-04 12:44:29,896115787886	,"IE3904【收藏关注优先发货】,36.5【正品保障 支持鉴定】",1851261433585	,	,	,	,无售后或售后取消,78575747712814	,中通快递,2026-02-01 16:02:49,否,,	,